p_zendar|Zendar
p_town_1|Villahermana
p_town_3|Salinas
; p_town_6|The Weeping Tower
p_town_8|Puerto Gaviota
p_town_9|Buenmercado
p_town_12|Pentos
p_town_16|Desembarco del Rey
p_town_17|Braavos
p_town_18|Septo de Piedra
p_town_19|Lanza del Sol
; p_town_20|The Planky Town
p_town_23|Rocadragón
p_town_24|Lannisport
p_town_25|Valle Oscuro
p_town_26|Poza de la Doncella
p_town_27|Kayce
p_town_30|Vado Ceniza
p_town_31|Puerto Blanco
p_town_32|Antigua
p_town_33|Pyke
p_town_34|Puerto Noble
p_town_35|Roble de Hierro
; p_town_36|The Ruins of Ghoyan Drohe
p_town_38|Lorath
p_town_40|Lys
p_town_41|Fuerte Túmulo
p_town_42|Ladera
; p_town_44|Qohor
p_town_45|Myr
p_town_46|Tyrosh
p_town_47|Volantis
p_town_48|Volon Therys
p_town_49|Valysar
p_town_50|Selhorys
p_town_51|Norvos
; p_town_52|The Ruins of Ny Sar
p_castle_1|Rapsodia
p_castle_2|Dedos de Pedernal
p_castle_3|Puertabronce
p_castle_4|Atalaya de la Viuda
p_castle_5|Rosby
p_castle_6|Castillo Viejo
p_castle_7|Varamar
p_castle_8|Bosquealto
p_castle_9|Foso Cailin
p_castle_10|Pazo Pajar
p_castle_11|Punta Aguda
p_castle_12|Serbaledo
p_castle_13|Piedratormenta
p_castle_14|Iksa Keria
p_castle_15|Último Hogar
p_castle_16|Astas
p_castle_17|Castillo Cerwyn
p_castle_18|El Risco
p_castle_19|Bastión Kar
p_castle_20|Nido de Cuervos
p_castle_21|Fuerterojo
p_castle_22|Bosquespeso
p_castle_23|Piedra de las Runas
p_castle_24|Puerta de la Sangre
p_castle_25|Castillo del Amanecer
p_castle_26|Princesa Rosada
p_castle_27|Niebla
p_castle_28|Bosque de la Serpiente
p_castle_29|Harrenhal
p_castle_30|Costa Salada
p_castle_31|Fuerte Desolación
p_castle_32|Fuerte Terror
; p_castle_33|Coldwater Burn
p_castle_34|Nido de Águilas
p_castle_35|Arcolargo
p_castle_36|Varadero Viejo
p_castle_37|Los Gemelos
p_castle_39|Torreón Bellota
p_castle_40|Refugionegro
p_castle_41|Limonar
p_castle_42|Palosanto
p_castle_43|Vaith
p_castle_44|Asperón
p_castle_45|Tor
p_castle_46|Colina Fantasma
p_castle_47|Bondadivina
p_castle_48|Sepulcro del Rey
p_castle_49|Montenegro
p_castle_50|Canto Nocturno
p_castle_51|Marcaceniza
p_castle_52|Roca Casterly
p_castle_53|Refugio Quebrado
p_castle_54|Sarsfield
p_castle_55|Valdecuerno
p_castle_56|Cuevahonda
p_castle_57|Maizal
p_castle_59|Isla Zarpa
p_castle_60|Tres Torres
p_castle_61|Tierras Altas
p_castle_63|Bandallon
p_castle_64|Roble Viejo
p_castle_65|Sotodeoro
p_castle_66|La Sidra
; p_castle_67|Grassfield Keep
p_castle_68|Granmesa
p_castle_69|Hogar del Sol
p_castle_70|Puenteamargo
p_castle_71|Colina Cuerno
p_castle_72|El Rejo
p_castle_73|Diez Torres
; p_castle_74|The Ruins of Iksa Naron
; p_castle_75|Last Refuge
; p_castle_76|Torturer's Deep
; p_castle_77|Fist of the Daughters
; p_castle_78|Horn of the Seven
; p_castle_79|Daggerstop
p_castle_80|Dominio del Cielo
; p_castle_82|The Ruins of Iksa Calo
p_castle_83|Nido del Grifo
p_castle_84|Aguasmil
p_castle_85|Piedraverde
p_castle_86|Seto de Piedra
p_castle_87|Refugio de Plata
p_castle_88|Bosquecuerno
p_castle_89|Árbol de Cuervos
p_castle_90|Torrelabella
; p_castle_91|Pebbleton Tower
p_castle_92|Las Hogueras
p_castle_93|Ermita Alta
p_castle_95|Cuernomartillo
p_castle_96|Jardín Gris
p_castle_99|Wyl
p_castle_100|Descanso de Caminantes
p_castle_104|Castroferro
p_castle_105|Aguasclaras
p_castle_106|Hogar
; p_castle_107|The Ruins of Sar Mell
p_castle_108|Hermana Dulce
p_castle_109|Hermana Pequeña
p_castle_110|Darry
p_castle_111|Escudo de Roble
; p_castle_112|Grey Cliffs
; p_castle_115|Red Lake
; p_castle_119|Blacktyde Castle
; p_castle_120|Wyk Hall
p_castle_127|Aguasdulces
; p_castle_128|Den of Skulls
p_castle_129|Invernalia
p_castle_130|Bastión de Tormentas
p_castle_131|Ciudadela de Torrhen
p_castle_132|Timón de Piedra
p_castle_133|Altojardín
p_castle_134|Sotoinfierno
p_castle_135|Campoestrella
; p_castle_136|The Golden Tooth
p_castle_137|Marcaderiva
p_castle_138|Isla del oso
p_castle_139|Stokeworth
p_village_1|Orilla de Lobos
p_village_2|Cabo del Rey
p_village_3|Cuello de Dragón
p_village_4|Ciudad de Lago
p_village_5|Fin del Mundo
p_village_6|Perdición de Rebeldes
p_village_7|Paraje de Bolton
p_village_8|Lanza del Norte
p_village_9|Puerta del Carnero
p_village_10|El Bloqueo
p_village_11|Pueblo Blanco
; p_village_12|Woolfield
p_village_13|Picamercado
; p_village_14|Crofter's Village
; p_village_15|Overton
p_village_16|Descanso de Walton
p_village_17|Árbol de Centinela
p_village_18|Normercado
; p_village_19|Goldgrass
