p_zendar|Zendar
p_town_1|Sisterton
p_town_3|Padelle Salate
p_town_6|Weeping Town
p_town_8|Città del Gabbiano
p_town_9|Fairmarket
p_town_12|Pentos
p_town_16|Approdo del Re
p_town_17|Braavos
p_town_18|Tempio di Pietra
p_town_19|Lancia del Sole
p_town_20|Planky Town
p_town_23|Roccia del Drago
p_town_24|Lannisport
p_town_25|Duskendale
p_town_26|Maidenpool
p_town_27|Kayce
p_town_30|Ashford
p_town_31|Porto Bianco
p_town_32|Vecchia Città
p_town_33|Città di Lord Harroway
p_town_34|Lordsport
; p_town_35|Tumbleton
p_town_36|Rhyos
p_town_38|Lorath
p_town_40|Lys
p_town_41|Città delle Tombe
; p_town_42|Goldengrove
p_town_44|Qohor
p_town_45|Myr
p_town_46|Tyrosh
p_town_47|Volantis
p_town_48|Volon Therys
p_town_49|Valysar
p_town_50|Selhorys
p_town_51|Norvos
; p_town_52|Mhysa Faer
; p_town_53|Draconys
; p_town_54|Aquos Dhaen
p_castle_1|Fortecanto
p_castle_2|Dito della Silice
p_castle_3|Porta di Bronzo
p_castle_4|Capo della Vedova
p_castle_5|Rosby
p_castle_6|Vecchio Castello
p_castle_7|Seagard
p_castle_8|Felwood
p_castle_9|Moat Cailin
p_castle_10|Sala del Fienile
p_castle_11|Capo Tagliente
p_castle_12|Wickenden
p_castle_13|Stonedance
p_castle_14|Iksa Keria
p_castle_15|Ultimo Focolare
p_castle_16|Antlers
p_castle_17|Castello dei Cerwyn
p_castle_18|Crag
p_castle_19|Karhold
p_castle_20|Nido del Corvo
p_castle_21|Redfort
p_castle_22|Deepwood Motte
p_castle_23|Pietra di Runa
p_castle_24|Porta Insanguinata
p_castle_25|Evenfall Hall
p_castle_26|Pinkmaiden
p_castle_27|Mistwood
p_castle_28|Foresta del Serpente
p_castle_29|Harrenhal
p_castle_30|Costa Salata
p_castle_31|Banefort
p_castle_32|Forte Terrore
p_castle_33|Coldwater
p_castle_34|Nido dell' Aquila
p_castle_35|Longbow Hall
p_castle_36|Vecchia Ancora
p_castle_37|Torri Gemelle
p_castle_39|Sala delle Ghiande
p_castle_40|Blackhaven
p_castle_41|Bosco dei Limoni
p_castle_42|Yronwood
p_castle_43|Vaith
p_castle_44|Sandstone
p_castle_45|Thor
p_castle_46|Collina Fantasma
p_castle_47|Grazia degli Dei
p_castle_48|Tomba del Re
p_castle_49|Blackmont
p_castle_50|Canto Notturno
p_castle_51|Ashemark
p_castle_52|Castel Granito
p_castle_53|Crakehall
p_castle_54|Sarsfield
p_castle_55|Valle del Corno
p_castle_56|Deep Den
p_castle_57|Campo di Grano
p_castle_59|Isola della Chela
p_castle_60|Tre Torri
p_castle_61|Uplands
p_castle_63|Bandallon
p_castle_64|Vecchia Quercia
; p_castle_65|Rook's Rest
p_castle_66|Sala dei Cedri
p_castle_67|Grassfield Keep
p_castle_68|Lungotavolo
p_castle_69|Casa del Sole
p_castle_70|Ponteamaro
p_castle_71|Collina del Corno
p_castle_72|Arbor
p_castle_73|Dieci Torri
p_castle_74|Rovine di Iksa Naron
p_castle_75|Ultimo Rifugio
; p_castle_76|Torturer's Deep
; p_castle_77|Blackwall
p_castle_78|Corno dei Sette
p_castle_79|Daggerstop
p_castle_80|Skyreach
p_castle_82|Rovine di Iksa Calo
p_castle_83|Posatoio del Grifone
p_castle_84|Casa della Pioggia
p_castle_85|Pietre Verdi
p_castle_86|Stone Hedge
p_castle_87|Sala d' Argento
p_castle_88|Hornwood
p_castle_89|Raventree Hall
p_castle_90|Belcastello
p_castle_91|Torre di Pebbleton
p_castle_92|Fuochi di Festa
p_castle_93|Alto Eremo
p_castle_95|Hammerhorn
p_castle_96|Giardino Grigio
p_castle_99|Wyl
; p_castle_100|Ironoaks
p_castle_104|Iron Holt
p_castle_105|Fortezza di Acquachiara
p_castle_106|Casa del Cuore
p_castle_107|Rovine di Sae Mell
p_castle_108|Longsister
p_castle_109|Littlesister
p_castle_110|Darry
p_castle_111|Scudo di Quercia
p_castle_112|Scogliere Grigie
p_castle_115|Lago Rosso
p_castle_119|Castello di Blacktyde
p_castle_120|Wyk
p_castle_127|Delta delle Acque
; p_castle_128|Aysel Keep
p_castle_129|Grande Inverno
p_castle_130|Capo Tempesta
p_castle_131|Piazza di Torrhen
p_castle_132|Stonehelm
p_castle_133|Alto Giardino
p_castle_134|Hellholt
p_castle_135|Stelle al Tramonto
p_castle_136|Zanna Dorata
p_castle_137|Alta Marea
p_castle_138|Isola dell' Orso
p_castle_139|Stokeworth
p_castle_140|Pyke
; p_castle_141|Grey Gallows
; p_castle_142|Eryas
p_village_1|Rills
; p_village_2|Coldwolf
p_village_3|Collo del Drago
; p_village_4|Prawn Bay
p_village_5|Whiteoak
p_village_6|Greyedge
p_village_7|Deepcrest
p_village_8|Eastwood
; p_village_9|Oldwall
p_village_10|Locke
; p_village_11|Brightfog
p_village_12|Woolfield
p_village_13|Mercato di Pike
p_village_14|Villaggio di Crofter
; p_village_15|Wildeland
p_village_16|Posatoio del Corvo
p_village_17|Albero Sentinella
p_village_18|Baia Infuocata
p_village_19|Goldgrass
; p_village_20|Ironrath
p_village_21|Capo della Piovra
p_village_22|Whitehill
p_village_23|Settecorrenti
p_village_24|Covo della Megera
p_village_25|Calwick
p_village_26|High Fall
p_village_27|Sallydance
p_village_28|Alto Cuore
p_village_29|Mulino del Topo Muschiato
p_village_30|Ramsford
p_village_31|Elk Wood
; p_village_32|Orshore
p_village_33|Torre del Gabbiano
p_village_34|Nido del Granchio
p_village_35|Grey Glen
; p_village_36|Dorbarrow
; p_village_37|Easthedge
; p_village_38|The Old Barrow
; p_village_39|Greywall
p_village_40|Monton
p_village_41|Valetown
p_village_42|Newkeep
; p_village_43|Fingermarket
; p_village_44|Merlings Cliff
p_village_45|Driftwood
p_village_46|Uncino di Massey
; p_village_47|Highlock
p_village_48|Woodsway
p_village_49|Poddingfield
; p_village_50|Kingsway
; p_village_51|Crickhollow
p_village_52|Baia degli Zaffiri
p_village_53|Barrow Hall
; p_village_54|Slayne
; p_village_55|Stonebridge
p_village_56|Elmwood
; p_village_57|Kellington
p_village_58|Stonehand
; p_village_59|Dellhollow
p_village_60|Dovedale
p_village_61|Greencrest
p_village_62|Foresta Maculata
; p_village_63|Blackmarrow
; p_village_64|The Farthest Reef
p_village_65|Dune Rosse
p_village_66|Shandystone
p_village_67|Mercato del Mare
; p_village_68|Greywynne
p_village_69|Ryamsport
