menu_start_game_options|Mentre passeggi per le strade della tua città natale ti giunge la notizia che Re Robert è stato incornato a morte da un cinghiale. Il pescivendolo dice che Eddard Stark, Primo Cavaliere del Re, tentò di usurpare il trono, ma venne fermato dai suoi consiglieri e Re Joffrey prese il posto del padre.\nTuttavia, pochi giorni dopo, uno stanco viaggiatore arriva con più notizie. Dopo l'arresto di Eddad Stark, i signori del Nord si preparano per una marcia verso sud per sconfiggere i Lannister e liberare il loro sovrano.\nLord Robb Stark, cogliendo impreparato l'esercito di Jaime, impegnato nell'assedio di Delta delle Acque, prende prigioniero lo Sterminatore di Re.\nBisogna prendere una decisine rapida, decidi di partire portando con te solo l'essenziale e vendendo quelle poche cose inutili, di poco valore, al locandiere. Finalmente avverti il controllo del tuo destino, grandi imprese ti attendono.
mno_choose_options|Continua...
mno_start_mod|Quick Character (per testare mod)
mno_go_back|Indietro
mno_continue|Continua...
menu_start_game_3|Scegli lo scenario:
menu_tutorial|Ti avvicini ad un campo dove le persone si esercitano con le armi. Puoi far pratica qui per migliorare le tue capacità di combattimento.
mno_go_back_dot|Indietro.
menu_reports|Fama del Personaggio: {reg5}^Livello d'Onore: {reg6}^Morale della Compagnia: {reg8}^Limite di Dimensione della Compagnia: {reg7}^^{reg9?Salario successivo:^{s1}:}
mno_view_party_reports|Visualizza rapporti personali
mno_dplmc_show_economic_report|Visualizza il report di prosperità.
mno_resume_travelling|Riprendi il viaggio.
menu_reference_reports|Materiale di riferimento
mno_action_view_upgrade_trees|Visualizza Alberi di Aggiornamento
mno_action_view_all_items|Visualizza tutti gli oggetti
mno_action_view_trade_ledger|Mostra la tua contabilità commerciale.
mno_action_view_trade_ledger_denied|Valutare gli oggetti per iniziare la vostra contabilità commerciale.
mno_return|Ritorna
menu_kingdom_reports|Rapporti del regno
mno_view_faction_relations_report|Guarda il rapporto sulla relazione con le fazioni
mno_lord_relations|Guarda la lista dei lord conosciuti in ordine di relazione.
menu_personal_reports|Rapporti personali
mno_view_character_report|Guarda il rapporto sul Personaggio
mno_view_affiliated_family_report|Guarda il rapporto Famiglia.
mno_view_weekly_budget_report|Guarda il rapporto sul bilancio settimanale
menu_cheat_reports|Rapporto Menu Trucchi
menu_party_reports|Rapporti della compagnia
mno_view_party_size_report|Guarda il rapporto sulla dimensione della Compagnia.
mno_view_morale_report|Guarda il rapporto del morale della Compagnia.
mno_Companions_overview|Visualizza panoramica compagni.
mno_view_npc_mission_report|Guarda il rapporto sulla missione dei Compagni.
menu_custom_battle_scene|(NO TRANS)
menu_custom_battle_end|La battaglia è finita. {s1} La tua fazione ha ucciso {reg5} nemici e perso {reg6} soldati durante la battaglia. Tu hai messo fuori combattimento o ucciso {reg7} avversari nella battaglia.
menu_start_game_0|Benvenuto nel mondo avventuroso di A Clash of Kings una mod basata sul 'Le Cronache del Ghiaccio e del Fuoco' serie di George R. R. Martin per Mount and Blade: Warband. Prima di cominciare a giocare devi creare il tuo personaggio. Ricorda che nella società tradizionale rappresentata nel gioco, guerra e politica erano normalmente dominate dai membri maschi della nobiltà. Questo però non impedisce che tu possa giocare con un personaggio femminile, o uno che non sia di nobile nascita. I maschi nobili possono avere un inizio facile, ma donne e uomini comuni possono raggiungere tutti gli obiettivi. E questo potrebbe rendere ancora più interessante il gioco.
menu_start_game_1|Seleziona il sesso del tuo personaggio.
mno_start_male|Maschio
mno_start_female|Femmina
menu_start_character_1|La tua nascita ha avuto luogo in una terra molto lontana. Tuo padre era...
mno_start_noble|Un nobile decaduto.
mno_start_merchant|Un mercante itinerante.
mno_start_guard|Un guerriero veterano.
mno_start_forester|Un cacciatore.
mno_start_nomad|JON STEWART.
mno_start_thief|Un ladro.
menu_start_character_2|{s10}^^  Hai cominciato a conoscere il mondo da quando hai imparato a camminare e parlare. Da giovane eri...
mno_page|Un Apprendista alla Corte di un Nobile.
mno_apprentice|Apprendista di un artigiano.
mno_stockboy|Un assistente in un negozio.
mno_urchin|Un teppista di strada.
mno_nomad|Il figlio di un dothraki.
menu_start_character_3|{s11}^^  Quindi, crescendo, la vita di sempre è cambiata. Decidi di...
mno_squire|Fare l'aiutante di campo.
mno_lady|Una dama di compagnia.
mno_troubadour|Dedicarti alla poesia.
mno_student|Iscriverti all'università.
mno_peddler|Un Venditore Ambulante.
mno_craftsman|Lavorare il ferro.
mno_poacher|Un Bracconiere.
menu_start_character_4|{s12}^^ Ma presto le cose cambiano ancora, e decidi di mettere in gioco la tua vita verso l'avventura. Cosa ti ha spinto a questa decisione?...
mno_revenge|Vendetta personale.
mno_death|La perdita di un amore.
mno_wanderlust|Il desiderio di viaggiare.
mno_disown|La perdita della casa.
mno_greed|Brama di denaro e potere.
menu_choose_skill|{s13}
mno_begin_adventuring|Segui il tuo spirito avventuroso e cavalca verso il tuo destino.
menu_past_life_explanation|{s3}
mno_view_next|{s5}
menu_morale_report|{s1}
menu_courtship_relations|{s1}
menu_lord_relations|{s1}
menu_companion_report|{s7}{s1}
menu_character_report|{s9}
menu_party_size_report|{s1}
menu_faction_relations_report|{s1}
menu_camp|Trovate un luogo adatto per accamparsi.^{s15}
mno_camp_recruit_prisoners|Recluta dei prigionieri nella tua Compagnia.
mno_camp_manage_inventory|Gestisci l'inventario dei tuoi compagni.
mno_camp_action|Fai un'azione.
mno_action_prebattle_custom_divisions|Gestischi la divisione delle truppe.
mno_camp_wait_here|Aspetta qui per un po' di tempo.
mno_camp_inspect|Ispeziona il tuo campo.
mno_camp_entrench|{s1}
mno_camp_mod_opition|Opzioni della Mod.
mno_camp_cheat|MENU TRUCCHI!
menu_camp_cheat|Seleziona un trucco:
mno_camp_cheat_find_item|Trova un oggetto...
menu_camp_action|Fai un'azione:
mno_action_read_book|Leggi un libro.
mno_action_change_party_name|Cambia il nome della tua compagnia.
mno_action_rename_kingdom|Rinomina il tuo Regno.
mno_jump_to_scene|debug: scena test menu
mno_action_modify_banner|Modifica il tuo stemma.
; mno_action_modify_factions_color|Re-dye the factions.
mno_action_export_import|Esportata o importa la storia del personaggio.
mno_action_retire|Ritirati dalla vita avventurosa.
mno_camp_action_4|Torna al menù del campo.
menu_export_import_npcs|Scegli il personaggio, poi premi il tasto C per vedere o esportare/importare i dati del personaggio.^^Hai selezionato {reg0?{s0}:}.
mno_export_import_back|Indietro
mno_export_import_npc1|{s0}
mno_export_import_npc2|{s0}
mno_export_import_npc3|{s0}
mno_export_import_npc4|{s0}
mno_export_import_npc5|{s0}
mno_export_import_npc6|{s0}
