qst_deliver_message|Consegna un messaggio a {s13}
qst_deliver_message_to_enemy_lord|Consegna un messaggio a {s13}
qst_raise_troops|Istruisci {reg1} {s14}
qst_escort_lady|Scorta {s13} a {s14}
qst_deal_with_bandits_at_lords_village|Salva il villaggio di {s15} dai Banditi Saccheggiatori.
qst_collect_taxes|Riscuoti le tasse da {s3}
qst_hunt_down_fugitive|Dai la caccia a {s4}
qst_kill_local_merchant|Assassinio di un mercante locale a {s3}
qst_bring_back_runaway_serfs|Costringi i servi in fuga a tornare indietro.
qst_follow_spy|Segui la spia
qst_capture_enemy_hero|Cattura un nobile del {s13}
qst_lend_companion|Offri temporaneamente il tuo Compagno {s3} a {s9}
qst_collect_debt|Riscuoti il debito {s3} dovuto a {s9}
qst_incriminate_loyal_commander|Incrimina il fedele comandante di {s13}, {s16}
qst_meet_spy_in_enemy_town|Incontra la spia a {s13}
qst_capture_prisoners|Consegna {reg1} {s3} prigionieri
qst_deliver_love_letter|Consegna un messaggio a {s13}
qst_lend_surgeon|Presta il tuo cerusico {s3} a {s1}
qst_follow_army|Segui l'armata di {s9}
qst_report_to_army|Fai rapporto a {s13}, il Comandante in Capo
qst_deliver_cattle_to_army|Consegna {reg3} capi di bestiame a {s13}
qst_join_siege_with_army|Unisciti all'assedio di {s14}
qst_screen_army|Proteggi l'avanzata dell'armata di {s13}
qst_scout_waypoints|Perlustra {s13}, {s14} e {s15}
qst_rescue_lord_by_replace|Recupera {s13} da {s14}
qst_deliver_message_to_prisoner_lord|Consegna un messaggio a {s13} a {s14}
qst_duel_for_lady|Sfida {s13} a duello
qst_duel_courtship_rival| Sfida {s13} a duello (opzionale)
qst_duel_avenge_insult|Sfida {s13} a duello
qst_move_cattle_herd|Conduci la mandria a {s13}
qst_escort_merchant_caravan|Scorta la carovana di mercanti a {s8}
qst_deliver_wine|Consegna {reg5} unità di {s6} a {s4}
qst_troublesome_bandits|Dai la caccia ai Banditi
qst_kidnapped_girl|Paga il riscatto ai banditi per la ragazza rapita.
qst_persuade_lords_to_make_peace|Assicurati che i due nobili non ostacolino la pace.
qst_deal_with_looters|Affronta i razziatori
qst_deal_with_night_bandits|Affronta i banditi notturni
qst_cheese_rustlers|Caccia ai ladri di grano
qst_cheese_rustlers_text|{s9} di {s4} ti ha chiesto di dare la caccia ai ladri di grano nelle vicinanze della città.
qst_cheese_paladins|Caccia ai ladri di vino
qst_cheese_paladins_text|{s9} di {s4} ti ha chiesto di dare la caccia ai ladri di vino nelle vicinanze della città.
qst_bar_brawl|Ripulire la città
qst_bar_brawl_text|{s9} di {s4} ti ha chiesto di affrontare le zoticoni nelle vicinanze della taverna.
qst_deliver_grain|Porta il grano a {s3}
qst_deliver_cattle|Consegna {reg5} capi di bestiame a {s3}
qst_train_peasants_against_bandits|Addestra i paesani di {s13} per affrontare i banditi.
qst_escort_scholars|Scorta i Septons a {s8}
qst_escort_scholars_text|Scorta i septons alla città di {s8}.
qst_hunt_down_smugglers|Caccia ai contrabbandieri
qst_hunt_down_smugglers_text|{s9} ha chiesto di affrontare con i contrabbandieri. Ha detto che tutti e tre i gruppi stanno scappando in direzione di {s3}.
qst_hunt_down_girl|Dai la caccia a {s4}
qst_hunt_down_girl_text|{s9} ti ha chiesto di dare la caccia a una ragazza di nome {s4}. Attualmente crede che si trovi a {s3}.
qst_deliver_lumber|Portare legname a {s3}
qst_deliver_lumber_text|L'anziano del villaggio di {s3} ti ha chiesto di portare loro {reg5} unità di legname.
qst_kidnapped_wife|Riscatta la donna dai banditi
